Fecha;Shopping;Cant. Público;dia_semana;nombre_dia;6c;7c;8c;9c;10c;11c;12c;13c;14c;15c;16c;17c;18c;19c;20c;21c;22c;23c
2021-08-18;Cordoba;6254.0;2;Miércoles;0;0;0;0;312;416;481;520;533;572;624;689;741;728;637;0;0;0
2021-08-19;Cordoba;6518.0;3;Jueves;0;0;0;0;317;423;502;542;555;568;608;687;780;806;727;0;0;0
2021-08-20;Cordoba;9260.0;4;Viernes;0;0;0;0;391;550;693;782;835;853;888;959;1066;1137;1101;0;0;0
2021-08-21;Cordoba;13264.0;5;Sábado;0;0;0;0;439;649;840;993;1108;1204;1337;1528;1720;1777;1662;0;0;0
2021-08-22;Cordoba;10982.0;6;Domingo;0;0;0;0;265;421;608;764;904;1029;1169;1357;1528;1559;1372;0;0;0
2021-08-23;Cordoba;5917.0;0;Lunes;0;0;0;0;260;377;456;495;495;508;573;664;729;729;625;0;0;0
2021-08-24;Cordoba;6226.0;1;Martes;0;0;0;0;313;413;484;512;512;527;598;698;755;755;655;0;0;0
2021-08-25;Cordoba;6901.0;2;Miércoles;0;0;0;0;344;459;530;573;588;631;688;760;817;803;703;0;0;0
2021-08-26;Cordoba;6842.0;3;Jueves;0;0;0;0;333;444;527;569;582;596;638;721;818;846;763;0;0;0
2021-08-27;Cordoba;9294.0;4;Viernes;0;0;0;0;392;553;695;784;838;856;891;963;1070;1141;1106;0;0;0
2021-08-28;Cordoba;12493.0;5;Sábado;0;0;0;0;414;612;792;936;1044;1134;1260;1440;1620;1674;1566;0;0;0
2021-08-29;Cordoba;10737.0;6;Domingo;0;0;0;0;259;411;594;747;884;1006;1143;1326;1494;1525;1342;0;0;0
2021-08-30;Cordoba;5939.0;0;Lunes;0;0;0;0;261;379;457;497;497;510;575;667;732;732;627;0;0;0
2021-08-31;Cordoba;6451.0;1;Martes;0;0;0;0;324;428;501;531;531;546;620;723;782;782;679;0;0;0
2021-09-01;Cordoba;6750.0;2;Miércoles;0;0;0;0;336;449;519;561;575;617;673;743;799;785;687;0;0;0
2021-09-02;Cordoba;7369.0;3;Jueves;0;0;0;0;358;478;567;612;627;642;687;777;881;911;822;0;0;0
